"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","DraftKings","AVG"
"1","Christian McCaffrey","SF","6 ","RB1","1","1","1","","","1.0"
"2","Dalvin Cook","","","RB2","2","2","2.1","","","2.0"
"3","Alvin Kamara","NO","6","RB3","3","3","4.3","","","3.4"
"4","Derrick Henry","BAL","8","RB4","4","4","3.8","","","3.9"
"5","Ezekiel Elliott","","","RB5","5","5","5.6","","","5.2"
"6","Travis Kelce","KC","12","TE1","6","7","6.5","","","6.5"
"7","Davante Adams","LAR","11","WR1","7","6","6.8","","","6.6"
"8","Jonathan Taylor","IND","14","RB6","9","8","16.9","","","11.3"
"9","Tyreek Hill","","","WR2","10","10","8.1","","","9.4"
"10","Saquon Barkley","PHI","14","RB7","8","13","10.9","","","10.6"
"11","Austin Ekeler","","","RB8","12","9","11.8","","","10.9"
"12","Aaron Jones Sr.","MIN","7","RB9","11","11","10.3","","","10.8"
"13","Nick Chubb","","","RB10","13","12","15.3","","","13.4"
"14","Stefon Diggs","","","WR3","14","14","10.1","","","12.7"
"15","Antonio Gibson","","","RB11","15","15","15.8","","","15.3"
"16","Calvin Ridley","TEN","13","WR4","16","17","13.4","","","15.5"
"17","Najee Harris","LAC","7","RB12","18","16","20.5","","","18.2"
"18","DeAndre Hopkins","BAL","8","WR5","17","18","14.9","","","16.6"
"19","Joe Mixon","","","RB13","19","20","19.8","","","19.6"
"20","DK Metcalf","PIT","7","WR6","20","21","18.2","","","19.7"
"21","Darren Waller","","","TE2","21","22","22.6","","","21.9"
"22","Justin Jefferson","MIN","7","WR7","22","23","22.8","","","22.6"
"23","A.J. Brown","NE","14","WR8","23","24","20.1","","","22.4"
"24","Clyde Edwards-Helaire","","","RB14","24","25","23.5","","","24.2"
"25","Patrick Mahomes II","KC","12","QB1","32","19","35.4","","","28.8"
"26","George Kittle","SF","6","TE3","26","29","27.1","","","27.4"
"27","Keenan Allen","LAC","7","WR9","25","31","25.8","","","27.3"
"28","David Montgomery","HOU","10","RB15","31","26","39.3","","","32.1"
"29","Terry McLaurin","WAS","9","WR10","29","28","27.8","","","28.3"
"30","CeeDee Lamb","DAL","7","WR11","30","30","24.7","","","28.2"
"31","Allen Robinson","II","","WR12","27","34","29.2","","","30.1"
"32","D'Andre Swift","CHI","10","RB16","28","36","34.1","","","32.7"
"33","Robert Woods ","","","WR13","33","35","32.9","","","33.6"
"34","Chris Carson ","","","RB17","35","33","39.6","","","35.9"
