Player,AVG,position,year,search_full_name,player_id
Andy Dalton,116.3,QB,2017,andydalton,829
Kenny Britt,117.3,WR,2017,kennybritt,366
Jack Doyle,117.7,TE,2017,jackdoyle,1706
Darren McFadden,119.3,RB,2017,darrenmcfadden,326
Jordan Matthews,120.0,TE,2017,jordanmatthews,1800
Eli Manning,120.7,QB,2017,elimanning,188
C.J. Prosise,121.0,RB,2017,cjprosise,3204
Rishard Matthews,122.0,WR,2017,rishardmatthews,1046
Jonathan Stewart,122.3,RB,2017,jonathanstewart,218
Corey Davis,122.7,WR,2017,coreydavis,4036
Ted Ginn Jr.,122.7,WR,2017,tedginn,695
Mike Wallace,123.7,WR,2017,mikewallace,365
Thomas Rawls,125.0,RB,2017,thomasrawls,2585
Samaje Perine,125.7,RB,2017,samajeperine,4147
Matt Forte,125.7,RB,2017,mattforte,103
Carson Wentz,127.0,QB,2017,carsonwentz,3161
Jacquizz Rodgers,128.3,RB,2017,jacquizzrodgers,949
Carson Palmer,128.7,QB,2017,carsonpalmer,91
Coby Fleener,129.7,TE,2017,cobyfleener,1107
Chris Hogan,135.0,WR,2017,chrishogan,1329
Tyrod Taylor,137.0,QB,2017,tyrodtaylor,827
Darren Sproles,137.3,RB,2017,darrensproles,246
Jamaal Williams,138.0,RB,2017,jamaalwilliams,4149
Austin Hooper,139.7,TE,2017,austinhooper,3202
Jason Witten,142.3,TE,2017,jasonwitten,23
Jeremy Hill,144.0,RB,2017,jeremyhill,1892
Cameron Brate,147.0,TE,2017,cameronbrate,2214
Josh Doctson,147.0,WR,2017,joshdoctson,3178
Zay Jones,148.0,WR,2017,zayjones,4080
Rex Burkhead,148.7,RB,2017,rexburkhead,1387
Kevin White,150.0,WR,2017,kevinwhite,2312
Sterling Shepard,150.3,WR,2017,sterlingshepard,3200
Jamaal Charles,153.7,RB,2017,jamaalcharles,323
Julius Thomas,153.7,TE,2017,juliusthomas,874
Latavius Murray,154.7,RB,2017,lataviusmurray,1476
Robbie Chosen,155.3,WR,2017,robbiechosen,3423
Sam Bradford,155.7,QB,2017,sambradford,621
Joe Flacco,156.3,QB,2017,joeflacco,19
Cole Beasley,156.3,WR,2017,colebeasley,1144
Alvin Kamara,158.0,RB,2017,alvinkamara,4035
Tyler Lockett,162.7,WR,2017,tylerlockett,2374
Giovani Bernard,163.3,RB,2017,giovanibernard,1386
O.J. Howard,164.7,TE,2017,ojhoward,4055
Taylor Gabriel,165.3,WR,2017,taylorgabriel,1903
Marlon Mack,165.7,RB,2017,marlonmack,4152
Cooper Kupp,166.3,WR,2017,cooperkupp,4039
Kenny Stills,167.7,WR,2017,kennystills,1555
C.J. Fiedorowicz,169.3,TE,2017,cjfiedorowicz,1951
Blake Bortles,170.0,QB,2017,blakebortles,1979
Kenny Golladay,170.7,WR,2017,kennygolladay,4131
Mohamed Sanu Sr.,171.0,WR,2017,mohamedsanu,1071
Jonathan Williams,172.0,RB,2017,jonathanwilliams,3312
Evan Engram,172.0,TE,2017,evanengram,4066
John Ross,173.3,WR,2017,johnross,4038
Alex Smith,174.3,QB,2017,alexsmith,268
Jared Cook,174.3,TE,2017,jaredcook,367
Chris Thompson,179.3,RB,2017,christhompson,1502
Brian Hoyer,179.3,QB,2017,brianhoyer,345
Dion Lewis,181.3,RB,2017,dionlewis,788
Antonio Gates,182.3,TE,2017,antoniogates,322
Shane Vereen,183.7,RB,2017,shanevereen,814
D'Onta Foreman,185.3,RB,2017,dontaforeman,4111
Charles Clay,185.7,TE,2017,charlesclay,801
Joe Williams,188.0,RB,2017,joewilliams,4042
DeAndre Washington,188.3,RB,2017,deandrewashington,3300
Deshaun Watson,188.7,QB,2017,deshaunwatson,4017
Dwayne Allen,190.7,TE,2017,dwayneallen,1105
Robert Woods,193.3,WR,2017,robertwoods,1352
Wendell Smallwood,195.3,RB,2017,wendellsmallwood,3309
David Njoku,196.3,TE,2017,davidnjoku,4033
J.J. Nelson,196.7,WR,2017,jjnelson,2462
Jared Goff,196.7,QB,2017,jaredgoff,3163
Allen Hurns,197.0,WR,2017,allenhurns,1984
Danny Amendola,197.0,WR,2017,dannyamendola,491
Marqise,199.3,WR,2017,marqise,
Breshad Perriman,200.0,WR,2017,breshadperriman,2331
DeShone Kizer,201.0,QB,2017,deshonekizer,4026
Devin Funchess,202.7,WR,2017,devinfunchess,
Mike Williams,202.7,WR,2017,mikewilliams,4068
Austin Seferian-Jenkins,203.7,TE,2017,austinseferianjenkins,2222
Kendall Wright,203.7,WR,2017,kendallwright,1097
Charles Sims,204.0,RB,2017,charlessims,2223
Torrey Smith,205.7,WR,2017,torreysmith,826
Trevor Siemian,206.3,QB,2017,trevorsiemian,2549
James Conner,207.3,RB,2017,jamesconner,4137
Jay Cutler,154.0,QB,2017,jaycutler,416
Chris Carson,210.3,RB,2017,chriscarson,4273
Ryan Tannehill,160.5,QB,2017,ryantannehill,1049
Quincy Enunwa,161.5,WR,2017,quincyenunwa,1854
Kenneth Dixon,164.0,RB,2017,kennethdixon,3208
Charcandrick West,215.0,RB,2017,charcandrickwest,2024
Jesse James,218.0,TE,2017,jessejames,2463
Tavon Austin,218.3,WR,2017,tavonaustin,1567
William Fuller,219.3,WR,2017,williamfuller,3157
Travis Benjamin,222.3,WR,2017,travisbenjamin,1077
Zach Miller,224.3,TE,2017,zachmiller,171
Paul Richardson Jr.,225.0,WR,2017,paulrichardson,2279
Marquise Goodwin,225.3,WR,2017,marquisegoodwin,1346
Chris Conley,226.0,WR,2017,chrisconley,2381
Vance McDonald,226.7,TE,2017,vancemcdonald,1587
Jaron Brown,227.0,WR,2017,jaronbrown,1684
Jalen Richard,228.3,RB,2017,jalenrichard,3868
Malcolm Mitchell,229.0,WR,2017,malcolmmitchell,3273
Nelson Agholor,233.7,WR,2017,nelsonagholor,2325
Robert Turbin,235.0,RB,2017,robertturbin,1232
Devontae Booker,235.3,RB,2017,devontaebooker,3209
Alfred Morris,237.0,RB,2017,alfredmorris,1170
T.J. Yeldon,237.3,RB,2017,tjyeldon,2341
Mitchell Trubisky,238.3,QB,2017,mitchelltrubisky,3976
Matt Breida,238.7,RB,2017,mattbreida,4455
Tarik Cohen,239.7,RB,2017,tarikcohen,4157
De'Angelo Henderson Sr.,241.0,RB,2017,deangelohenderson,4239
ArDarius Stewart,244.3,WR,2017,ardariusstewart,4119
Mike Glennon,212.0,QB,2017,mikeglennon,1559
Curtis Samuel,246.3,WR,2017,curtissamuel,4082
Josh Gordon,246.3,WR,2017,joshgordon,1244
Jimmy Garoppolo,250.3,QB,2017,jimmygaroppolo,1837
Vernon Davis,252.7,TE,2017,vernondavis,200
Brandon LaFell,254.3,WR,2017,brandonlafell,613
Anquan Boldin,224.5,WR,2017,anquanboldin,655
Terrance Williams,254.7,WR,2017,terrancewilliams,1490
George Kittle,257.0,TE,2017,georgekittle,4217
Dede Westbrook,259.3,WR,2017,dedewestbrook,4146
Benjamin Watson,259.7,TE,2017,benjaminwatson,663
Phillip Dorsett II,261.0,WR,2017,phillipdorsett,2334
Josh McCown,234.5,QB,2017,joshmccown,208
Tyler Boyd,262.0,WR,2017,tylerboyd,3225
Branden Oliver,262.3,RB,2017,brandenoliver,2050
Tyler Higbee,263.0,TE,2017,tylerhigbee,3271
Jermaine Kearse,263.3,WR,2017,jermainekearse,1290
Javorius Allen,263.7,RB,2017,javoriusallen,2430
Tim Hightower,239.0,RB,2017,timhightower,83
Tom Savage,240.0,QB,2017,tomsavage,1957
JuJu Smith-Schuster,269.3,WR,2017,jujusmithschuster,4040
Jerick McKinnon,246.0,RB,2017,jerickmckinnon,2161
Laquon Treadwell,277.3,WR,2017,laquontreadwell,3155
Dennis Pitta,191.0,TE,2017,dennispitta,527
Brandon Coleman,254.5,WR,2017,brandoncoleman,2196
Eli Rogers,274.7,WR,2017,elirogers,2980
Tony Romo,195.0,QB,2017,tonyromo,142
Orleans Darkwa,276.7,RB,2017,orleansdarkwa,1819
Kyle Juszczyk,277.0,RB,2017,kylejuszczyk,
Patrick Mahomes II,277.7,QB,2017,patrickmahomes,4046
Paxton Lynch,260.0,QB,2017,paxtonlynch,3170
Kasen Williams,263.5,WR,2017,kasenwilliams,2611
Kenyan Drake,264.0,RB,2017,kenyandrake,3242
Damiere Byrd,265.0,WR,2017,damierebyrd,2673
Gerald Everett,283.0,TE,2017,geraldeverett,4089
Ladarius Green,217.0,TE,2017,ladariusgreen,1139
Zach Zenner,266.5,RB,2017,zachzenner,2560
Taywan Taylor,289.0,WR,2017,taywantaylor,4125
Chris Godwin Jr.,298.0,WR,2017,chrisgodwin,4037
Ryan Mathews,269.5,RB,2017,ryanmathews,571
Michael Floyd,271.5,WR,2017,michaelfloyd,1219
Cordarrelle Patterson,272.0,RB,2017,cordarrellepatterson,1535
Jermaine Gresham,272.0,TE,2017,jermainegresham,530
Erik Swoope,275.0,TE,2017,erikswoope,1975
Donnel Pumphrey,298.0,RB,2017,donnelpumphrey,4178
DeAngelo Williams,279.0,RB,2017,deangelowilliams,306
Dion Sims,284.0,TE,2017,dionsims,1357
Victor Cruz,280.0,WR,2017,victorcruz,719
Braxton Miller,288.5,WR,2017,braxtonmiller,3203
Jeremy Langford,285.5,RB,2017,jeremylangford,2411
Chris Ivory,286.5,RB,2017,chrisivory,717
Jeremy McNichols,287.5,RB,2017,jeremymcnichols,4219
Brock Osweiler,287.5,QB,2017,brockosweiler,1126
Wayne Gallman Jr.,288.5,RB,2017,waynegallman,4150
Aaron Jones Sr.,303.0,RB,2017,aaronjones,4199
T.J. Logan,264.0,RB,2017,tjlogan,4186
Rico Gathers,290.0,TE,2017,ricogathers,3372
Chad Williams,268.0,WR,2017,chadwilliams,4128
Gary Barnidge,291.5,TE,2017,garybarnidge,176
Chad Henne,291.5,QB,2017,chadhenne,89
Jeremy Kerley,299.0,WR,2017,jeremykerley,817
Mack Hollins,307.0,WR,2017,mackhollins,4177
Kamar Aiken,305.5,WR,2017,kamaraiken,794
Damien Williams,296.5,RB,2017,damienwilliams,1833
Adam Shaheen,314.5,TE,2017,adamshaheen,4085
Kerwynn Williams,306.0,RB,2017,kerwynnwilliams,1441
Markus Wheaton,322.5,WR,2017,markuswheaton,1413
Bruce Ellington,299.0,WR,2017,bruceellington,2255
Dontrelle Inman,314.0,WR,2017,dontrelleinman,2291
Seth DeValve,336.5,TE,2017,sethdevalve,3296
Andre Ellington,300.5,RB,2017,andreellington,1575
Teddy Bridgewater,287.0,QB,2017,teddybridgewater,2152
Matt Jones,301.0,RB,2017,mattjones,2400
Maxx Williams,323.0,TE,2017,maxxwilliams,2360
Akeem Hunt,289.0,RB,2017,akeemhunt,2731
Ryan Switzer,290.0,WR,2017,ryanswitzer,4162
Seth Roberts,327.5,WR,2017,sethroberts,2039
Jaelen Strong,312.0,WR,2017,jaelenstrong,2375
Dwayne Washington,314.0,RB,2017,dwaynewashington,3391
Sammie Coates,328.5,WR,2017,sammiecoates,2392
Matt Moore,306.5,QB,2017,mattmoore,233
Geronimo Allison,343.5,WR,2017,geronimoallison,3503
Austin Carr,299.0,WR,2017,austincarr,4416
Cody Kessler,307.0,QB,2017,codykessler,3205
Aldrick Robinson,300.0,WR,2017,aldrickrobinson,919
Trey Burton,339.0,TE,2017,treyburton,1793
Wendall Williams,303.0,WR,2017,wendallwilliams,3552
Colin Kaepernick,315.5,QB,2017,colinkaepernick,980
Fitzgerald Toussaint,306.0,RB,2017,fitzgeraldtoussaint,2282
Malcolm Brown,309.0,RB,2017,malcolmbrown,2588
Corey Clement,309.0,RB,2017,coreyclement,4651
A.J. Derby,345.0,TE,2017,ajderby,2503
C.J. Spiller,323.0,RB,2017,cjspiller,507
Andre Holmes,338.5,WR,2017,andreholmes,940
Mike Tolbert,314.0,RB,2017,miketolbert,
Alfred Blue,319.0,RB,2017,alfredblue,1944
Cameron Artis-Payne,317.0,RB,2017,cameronartispayne,2477
Matt Asiata,318.0,RB,2017,mattasiata,936
Brian Quick,322.0,WR,2017,brianquick,1208
Will,323.0,TE,2017,will,
Alex Collins,337.0,RB,2017,alexcollins,3327
Travaris Cadet,338.0,RB,2017,travariscadet,1185
Richard Rodgers,339.0,TE,2017,richardrodgers,2146
Ryan Griffin,341.0,TE,2017,ryangriffin,1425
Tajae Sharpe,342.0,WR,2017,tajaesharpe,3297
Marquess Wilson,344.0,WR,2017,marquesswilson,1512
Marcedes Lewis,346.0,TE,2017,marcedeslewis,111
Vincent Jackson,347.0,WR,2017,vincentjackson,128
Lance Dunbar,348.0,RB,2017,lancedunbar,1284
Chester Rogers,349.0,WR,2017,chesterrogers,3582
Larry Donnell,351.0,TE,2017,larrydonnell,1759
Tyler Ervin,353.0,RB,2017,tylerervin,3280
Lance Kendricks,355.0,TE,2017,lancekendricks,964
Christine Michael,357.0,RB,2017,christinemichael,1596
Adam Humphries,360.0,WR,2017,adamhumphries,2822
Demarcus Robinson,362.0,WR,2017,demarcusrobinson,3286
Clive Walford,366.0,TE,2017,clivewalford,2373
Carlos Henderson,367.0,WR,2017,carloshenderson,4108
Jake Butt,368.0,TE,2017,jakebutt,4151
Justin Hunter,369.0,WR,2017,justinhunter,1418
Jordan Leggett,370.0,TE,2017,jordanleggett,4153
Christian Hackenberg,371.0,QB,2017,christianhackenberg,3168
Leonte Carroo,372.0,WR,2017,leontecarroo,3253
Landry Jones,373.0,QB,2017,landryjones,1411
Virgil Green,374.0,TE,2017,virgilgreen,868
