AVG,year,player,fantasyPts,position,bucket,median,expected_diff,player_id
128.3,2017,Jacquizz Rodgers,46.8,RB,7,89.5,-42.7,949
137.3,2017,Darren Sproles,20.4,RB,7,89.5,-69.1,246
138.0,2017,Jamaal Williams,142.8,RB,7,89.5,53.3,4149
144.0,2017,Jeremy Hill,17.2,RB,7,89.5,-72.3,1892
148.7,2017,Rex Burkhead,129.8,RB,8,110.3,19.5,1387
153.7,2017,Jamaal Charles,71.5,RB,8,110.3,-38.8,323
154.7,2017,Latavius Murray,157.5,RB,8,110.3,47.2,1476
158.0,2017,Alvin Kamara,314.4,RB,8,110.3,204.1,4035
163.3,2017,Giovani Bernard,151.7,RB,8,110.3,41.4,1386
165.7,2017,Marlon Mack,103.3,RB,8,110.3,-7.00000000000001,4152
179.3,2017,Chris Thompson,155.4,RB,9,83.85,71.55,1502
181.3,2017,Dion Lewis,197.0,RB,9,83.85,113.15,788
183.7,2017,Shane Vereen,85.7,RB,9,83.85,1.85000000000001,814
185.3,2017,D'Onta Foreman,59.0,RB,9,83.85,-24.85,4111
188.3,2017,DeAndre Washington,87.0,RB,9,83.85,3.15000000000001,3300
195.3,2017,Wendell Smallwood,46.7,RB,9,83.85,-37.15,3309
204.0,2017,Charles Sims,75.4,RB,10,74.3,1.09999999999999,2223
207.3,2017,James Conner,14.4,RB,10,74.3,-59.9,4137
210.3,2017,Chris Carson,39.7,RB,10,74.3,-34.6,4273
215.0,2017,Charcandrick West,73.2,RB,10,74.3,-1.10000000000001,2024
228.3,2017,Jalen Richard,92.1,RB,10,74.3,17.8,3868
235.0,2017,Robert Turbin,25.9,RB,10,74.3,-48.4,1232
235.3,2017,Devontae Booker,93.4,RB,11,56.85,36.55,3209
237.0,2017,Alfred Morris,72.2,RB,11,56.85,15.35,1170
237.3,2017,T.J. Yeldon,89.7,RB,11,56.85,32.85,2341
238.7,2017,Matt Breida,103.5,RB,11,56.85,46.65,4455
239.7,2017,Tarik Cohen,143.3,RB,11,56.85,86.45,4157
241.0,2017,De'Angelo Henderson Sr.,12.9,RB,11,56.85,-43.95,4239
246.0,2017,Jerick McKinnon,180.1,RB,12,20.7,159.4,2161
