"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","DraftKings","AVG"
"1","Saquon Barkley","PHI","10","RB1","1","1","","","","1.0"
"2","Christian McCaffrey","SF","4","RB2","2","2","","","","2.0"
"3","Alvin Kamara","NO","9","RB3","3","3","","","","3.0"
"4","Ezekiel Elliott","","","RB4","4","4","","","","4.0"
"5","DeAndre Hopkins","BAL","8","WR1","5","5","","","","5.0"
"6","David Johnson","","","RB5","6","7","","","","6.3"
"7","Le'Veon Bell","","","RB6","8","6","","","","7.3"
"8","Davante Adams","LAR","9","WR2","7","10","","","","8.0"
"9","James Conner","ARI","12","RB7","11","8","","","","10.3"
"10","Nick Chubb","","","RB8","14","9","","","","10.7"
"11","Julio Jones","","","WR3","10","12","","","","10.7"
"12","Michael Thomas","","","WR4","9","15","","","","12.3"
"13","Travis Kelce","KC","12","TE1","15","11","","","","12.3"
"14","Odell Beckham Jr.","NYG","11","WR5","13","13","","","","13.3"
"15","JuJu Smith-Schuster","NYG","11","WR6","12","14","","","","14.3"
"16","Dalvin Cook","","","RB9","16","18","","","","16.7"
"17","Todd Gurley","II","","RB10","17","16","","","","17.0"
"18","Tyreek Hill","","","WR7","21","17","","","","17.7"
"19","Joe Mixon","","","RB11","18","19","","","","19.0"
"20","Mike Evans","SF","4 ","WR8","19","21","","","","19.7"
"21","Antonio Brown","","","WR9","20","22","","","","21.0"
"22","Patrick Mahomes II","KC","12","QB1","22","20","","","","21.7"
"23","Leonard Fournette","","","RB12","24","24","","","","23.3"
"24","Adam Thielen","","","WR10","26","26","","","","25.3"
"25","George Kittle","SF","4","TE2","30","23","","","","26.3"
"26","Kerryon Johnson","","","RB13","27","25","","","","26.3"
"27","Keenan Allen","LAC","12","WR11","23","29","","","","26.7"
"28","Damien Williams","","","RB14","25","36","","","","28.7"
"29","Aaron Jones Sr.","MIN","12","RB15","28","30","","","","29.3"
"30","Zach Ertz","","","TE3","29","28","","","","29.7"
"31","Devonta Freeman","","","RB16","33","27","","","","30.3"
"32","Stefon Diggs","","","WR12","34","32","","","","33.0"
"33","Amari Cooper","","","WR13","31","35","","","","33.7"
"34","Josh Jacobs","GB","11","RB17","37","31","","","","34.0"
"35","Chris Carson ","","","RB18","44","33","","","","35.3"
"36","Marlon Mack","","","RB19","38","34","","","","37.7"
"37","Julian Edelman","","","WR14","36","37","","","","37.7"
"38","Chris Godwin Jr.","TB","7","WR15","41","40","","","","39.3"
"39","Derrick Henry","BAL","8","RB20","39","38","","","","39.7"
"40","Brandin Cooks","","","WR16","40","42","","","","40.3"
"41","David Montgomery","HOU","10","RB21","46","41","","","","41.0"
"42","T.Y. Hilton","","","WR17","35","46","","","","42.0"
"43","Sony Michel","","","RB22","48","43","","","","43.0"
"44","Kenny Golladay","","","WR18","45","39","","","","43.7"
"45","Mark Ingram","II","","RB23","43","45","","","","44.7"
"46","Robert Woods","","","WR19","42","52","","","","46.0"
"47","Tyler Lockett","LV","","WR20","47","48","","","","46.0"
"48","Melvin Gordon","III","","RB24","32","60","","","","47.3"
"49","Cooper Kupp","SEA","11","WR21","53","49","","","","50.0"
"50","Deshaun Watson","CLE","7","QB2","57","44","","","","50.7"
"51","James White","","","RB25","51","51","","","","52.7"
"52","Phillip Lindsay","","","RB26","52","47","","","","53.0"
"53","Calvin Ridley","TEN","11 ","WR22","54","55","","","","54.0"
"54","Tyler Boyd","","","WR23","55","53","","","","54.3"
"55","O.J. Howard","","","TE4","60","57","","","","55.3"
"56","Tevin Coleman","","","RB27","58","56","","","","57.0"
"57","Evan Engram","DEN","10 ","TE5","61","58","","","","57.7"
"58","DJ Moore","BUF","6","WR24","50","67","","","","58.7"
"59","Aaron Rodgers","PIT","7","QB3","66","50","","","","60.7"
"60","Tarik Cohen","","","RB28","64","54","","","","63.7"
"61","Miles Sanders","","","RB29","68","61","","","","63.7"
"62","Austin Ekeler","","","RB30","72","59","","","","64.0"
"63","Allen Robinson","II","","WR25","59","69","","","","64.3"
"64","A.J. Green ","","","WR26","56","72","","","","65.3"
"65","Hunter Henry","NE","10","TE6","65","68","","","","65.3"
"66","Alshon Jeffery ","","","WR27","62","74","","","","68.3"
"67","Baker Mayfield","TB","7","QB4","71","63","","","","68.3"
"68","Jarvis Landry","","","WR28","63","75","","","","69.3"
"69","Robbie Chosen","","","WR29","69","77","","","","71.0"
"70","Derrius Guice ","","","RB31","73","70","","","","72.3"
"71","Matt Ryan","","","QB5","76","65","","","","73.3"
"72","Duke Johnson Jr.","","","RB32","93","64","","","","73.7"
"73","William Fuller","V","","WR30","74","76","","","","75.7"
"74","Kenyan Drake","","","RB33","67","78","","","","76.0"
"75","Jared Cook","","","TE7","77","80","","","","77.3"
"76","Dede Westbrook","","","WR31","80","83","","","","78.3"
"77","Latavius Murray","","","RB34","79","81","","","","79.3"
"78","Carson Wentz","MIN","12","QB6","83","71","","","","79.7"
"79","Christian Kirk","SF","4","WR32","75","88","","","","81.3"
"80","Sammy Watkins","","","WR33","70","94","","","","82.0"
"81","Josh Gordon","","","WR34","116","73","","","","82.3"
"82","Corey Davis","","","WR35","78","79","","","","84.0"
"83","Curtis Samuel","","","WR36","86","95","","","","85.7"
"84","Vance McDonald","","","TE8","88","93","","","","87.0"
"85","Jared Goff","DET","5","QB7","91","82","","","","88.7"
"86","Sterling Shepard","","","WR37","84","96","","","","89.7"
"87","Rashaad Penny ","","","RB35","82","102","","","","91.7"
"88","Cam Newton ","","","QB8","99","86","","","","92.3"
"89","David Njoku","LAC","12","TE9","98","91","","","","92.3"
"90","Devin Singletary","NYG","11","RB36","117","66","","","","93.0"
"91","Matt Breida","","","RB37","114","84","","","","94.0"
"92","Marvin Jones Jr. ","","","WR38","92","106","","","","95.0"
"93","Drew Brees","","","QB9","94","92","","","","96.3"
"94","Russell Wilson","","","QB10","96","85","","","","97.3"
"95","Royce Freeman","","","RB38","89","105","","","","97.3"
"96","Marquez Valdes-Scantling","DAL","8","WR39","100","107","","","","97.7"
"97","Courtland Sutton","DEN","10","WR40","87","98","","","","98.3"
"98","Darrell Henderson Jr.","","","RB39","81","114","","","","100.0"
"99","Jameis Winston","NYG","11","QB11","97","97","","","","100.3"
"100","Dante Pettis","NO","9","WR41","85","117","","","","101.0"
"101","Jordan Howard","","","RB40","95","87","","","","101.0"
"102","LeSean McCoy","","","RB41","110","89","","","","101.7"
"103","Emmanuel Sanders","","","WR42","106","103","","","","102.7"
"104","Eric Ebron ","","","TE10","102","99","","","","103.3"
"105","Kyler Murray","MIN","12","QB12","104","104","","","","104.0"
"106","Larry Fitzgerald","","","WR43","90","110","","","","104.7"
"107","Ben Roethlisberger ","","","QB13","107","90","","","","105.0"
"108","Lamar Jackson","BAL","8","QB14","120","101","","","","105.0"
"109","Geronimo Allison","","","WR44","101","127","","","","106.0"
"110","James Washington","","","WR45","103","130","","","","111.0"
"111","Austin Hooper","ATL","9","TE11","108","112","","","","112.3"
"112","DeSean Jackson ","","","WR46","109","134","","","","117.0"
"113","Jaylen Samuels","","","RB42","105","125","","","","118.0"
"114","Kalen Ballage ","","","RB43","118","122","","","","118.3"
"115","Philip Rivers","","","QB15","119","111","","","","119.3"
"116","Michael Gallup","","","WR47","123","124","","","","119.7"
"117","Delanie Walker ","","","TE12","132","109","","","","121.3"
"118","Tony Pollard","TEN","11","RB44","148","120","","","","121.7"
"119","Kirk Cousins","LV","","QB16","126","108","","","","122.0"
"120","Dak Prescott","DAL","8","QB17","129","118","","","","123.0"
"121","Donte Moncrief","","","WR48","111","139","","","","123.3"
"122","Mark Andrews","BAL","8","TE13","138","119","","","","124.3"
"123","Mitchell Trubisky","TEN","11","QB18","128","115","","","","125.3"
"124","Justice Hill","BAL","8","RB45","133","126","","","","126.0"
"125","Dion Lewis","","","RB46","127","113","","","","126.3"
"126","Justin Jackson","","","RB47","144","123","","","","126.7"
"127","Peyton Barber","","","RB48","122","135","","","","127.3"
"128","Tyrell Williams","","","WR49","125","132","","","","128.0"
"129","Tom Brady","","","QB19","136","116","","","","128.7"
"130","Golden Tate","","","WR50","112","144","","","","132.0"
"131","Anthony Miller","","","WR51","121","145","","","","132.0"
"132","Darwin Thompson","","","RB49","139","159","","","","133.3"
"133","Ronald Jones","II","","RB50","115","133","","","","133.7"
"134","Josh Allen","BUF","6","QB20","146","129","","","","134.7"
