Player,AVG,year,fantasyPts,position,bucket,median,expected_diff
Darren Sproles,137.3,2017,20.4,RB,7,89.5,-69.1
Jamaal Williams,138.0,2017,142.8,RB,7,89.5,53.30000000000001
Jeremy Hill,144.0,2017,17.2,RB,7,89.5,-72.3
Rex Burkhead,148.7,2017,129.8,RB,8,110.30000000000001,19.5
Jamaal Charles,153.7,2017,71.5,RB,8,110.30000000000001,-38.80000000000001
Latavius Murray,154.7,2017,157.5,RB,8,110.30000000000001,47.19999999999999
Alvin Kamara,158.0,2017,314.4,RB,8,110.30000000000001,204.09999999999997
Giovani Bernard,163.3,2017,151.7,RB,8,110.30000000000001,41.39999999999998
Marlon Mack,165.7,2017,103.3,RB,8,110.30000000000001,-7.000000000000014
Chris Thompson,179.3,2017,155.4,RB,9,83.85,71.55000000000001
Dion Lewis,181.3,2017,197.0,RB,9,83.85,113.15
Shane Vereen,183.7,2017,85.7,RB,9,83.85,1.8500000000000085
D'Onta Foreman,185.3,2017,59.0,RB,9,83.85,-24.849999999999994
DeAndre Washington,188.3,2017,87.0,RB,9,83.85,3.1500000000000057
Wendell Smallwood,195.3,2017,46.7,RB,9,83.85,-37.14999999999999
Charles Sims,204.0,2017,75.4,RB,10,74.30000000000001,1.0999999999999943
James Conner,207.3,2017,14.4,RB,10,74.30000000000001,-59.90000000000001
Chris Carson,210.3,2017,39.7,RB,10,74.30000000000001,-34.60000000000001
Charcandrick West,215.0,2017,73.2,RB,10,74.30000000000001,-1.1000000000000085
Jalen Richard,228.3,2017,92.1,RB,10,74.30000000000001,17.799999999999983
Robert Turbin,235.0,2017,25.9,RB,10,74.30000000000001,-48.40000000000001
Devontae Booker,235.3,2017,93.4,RB,11,56.849999999999994,36.55000000000001
Alfred Morris,237.0,2017,72.2,RB,11,56.849999999999994,15.350000000000009
T.J. Yeldon,237.3,2017,89.7,RB,11,56.849999999999994,32.85000000000001
Matt Breida,238.7,2017,103.5,RB,11,56.849999999999994,46.650000000000006
Tarik Cohen,239.7,2017,143.3,RB,11,56.849999999999994,86.45000000000002
De'Angelo Henderson,241.0,2017,12.9,RB,11,56.849999999999994,-43.949999999999996
Jerick McKinnon,246.0,2017,180.1,RB,12,20.7,159.4
Branden Oliver,262.3,2017,16.9,RB,12,20.7,-3.8000000000000007
