AVG,year,player,fantasyPts,position,bucket,median,expected_diff,sleeper_id,player_id
96.7,2017,Eddie Lacy,28.6,RB,5,150.3,-121.70000000000002,8140,1527
98.0,2017,Terrance West,30.1,RB,5,150.3,-120.20000000000002,8140,1912
101.3,2017,Duke Johnson Jr.,220.1,RB,5,150.3,69.79999999999998,8140,2382
101.3,2017,LeGarrette Blount,107.6,RB,6,106.55,1.0499999999999972,8140,730
116.0,2017,James White,134.0,RB,6,106.55,27.450000000000003,8140,1848
119.3,2017,Darren McFadden,-0.2,RB,6,106.55,-106.75,8140,326
121.0,2017,C.J. Prosise,17.0,RB,6,106.55,-89.55,8140,3204
122.3,2017,Jonathan Stewart,123.2,RB,6,106.55,16.650000000000006,8140,218
125.0,2017,Thomas Rawls,34.1,RB,6,106.55,-72.44999999999999,8140,2585
125.7,2017,Samaje Perine,112.5,RB,7,89.5,23.0,8140,4147
125.7,2017,Matt Forte,122.4,RB,7,89.5,32.900000000000006,8140,103
128.3,2017,Jacquizz Rodgers,46.8,RB,7,89.5,-42.7,8140,949
137.3,2017,Darren Sproles,20.4,RB,7,89.5,-69.1,8140,246
138.0,2017,Jamaal Williams,142.8,RB,7,89.5,53.30000000000001,8140,4149
144.0,2017,Jeremy Hill,17.2,RB,7,89.5,-72.3,8140,1892
148.7,2017,Rex Burkhead,129.8,RB,8,110.3,19.5,8140,1387
153.7,2017,Jamaal Charles,71.5,RB,8,110.3,-38.80000000000001,8140,323
154.7,2017,Latavius Murray,157.5,RB,8,110.3,47.19999999999999,8140,1476
158.0,2017,Alvin Kamara,314.4,RB,8,110.3,204.09999999999997,8140,4035
163.3,2017,Giovani Bernard,151.7,RB,8,110.3,41.39999999999998,8140,1386
165.7,2017,Marlon Mack,103.3,RB,8,110.3,-7.000000000000014,8140,4152
179.3,2017,Chris Thompson,155.4,RB,9,83.85,71.55000000000001,8140,1502
181.3,2017,Dion Lewis,197.0,RB,9,83.85,113.15,8140,788
183.7,2017,Shane Vereen,85.7,RB,9,83.85,1.8500000000000083,8140,814
185.3,2017,D'Onta Foreman,59.0,RB,9,83.85,-24.84999999999999,8140,4111
188.3,2017,DeAndre Washington,87.0,RB,9,83.85,3.1500000000000057,8140,3300
195.3,2017,Wendell Smallwood,46.7,RB,9,83.85,-37.14999999999999,8140,3309
204.0,2017,Charles Sims,75.4,RB,10,74.30000000000001,1.0999999999999943,8140,2223
207.3,2017,James Conner,14.4,RB,10,74.30000000000001,-59.90000000000001,8140,4137
210.3,2017,Chris Carson,39.7,RB,10,74.30000000000001,-34.60000000000001,8140,4273
215.0,2017,Charcandrick West,73.2,RB,10,74.30000000000001,-1.1000000000000083,8140,2024
228.3,2017,Jalen Richard,92.1,RB,10,74.30000000000001,17.799999999999983,8140,3868
235.0,2017,Robert Turbin,25.9,RB,10,74.30000000000001,-48.40000000000001,8140,1232
235.3,2017,Devontae Booker,93.4,RB,11,56.849999999999994,36.55000000000001,8140,3209
